UserID	FirstName	LastName	Email	Year	Major
1	A	A	A	1	CS
2	B	B	B	1	EE
3	C	C	C	1	CSE
4	A	A	A	1	ME
5	B	B	B	1	AE
6	C	C	C	1	CS
7	A	A	A	1	EE
8	B	B	B	1	CSE
9	C	C	C	1	ME
10	A	A	A	1	AE
11	B	B	B	1	CS
12	C	C	C	1	EE
13	A	A	A	1	CSE
14	B	B	B	2	ME
15	C	C	C	2	AE
16	A	A	A	2	CS
17	B	B	B	2	EE
18	A	A	A	2	CSE
19	B	B	B	2	ME
20	C	C	C	2	AE
21	A	A	A	2	CS
22	B	B	B	2	EE
23	C	C	C	2	CSE
24	A	A	A	3	ME
25	B	B	B	3	AE
26	C	C	C	3	CS
27	A	A	A	3	EE
28	B	B	B	3	CSE
29	C	C	C	3	ME
30	A	A	A	3	AE
31	B	B	B	3	CS
32	C	C	C	3	EE
33	A	A	A	3	CSE
34	B	B	B	3	ME
35	A	A	A	3	AE
36	B	B	B	3	CS
37	C	C	C	3	EE
38	A	A	A	3	CSE
39	B	B	B	3	ME
40	C	C	C	4	AE
41	A	A	A	4	CS
42	B	B	B	4	EE
43	C	C	C	4	CSE
44	A	A	A	4	ME
45	B	B	B	4	AE
46	C	C	C	4	CS
47	A	A	A	4	EE
48	B	B	B	4	CSE
49	C	C	C	4	ME
50	A	A	A	4	AE
